date,score,country,term,translated_term,score_difference,date_str
04.05.2020,100,uk,baking,baking,73.0,04.05.2020
04.12.2020,98,uk,baking,baking,69.0,04.12.2020
19.04.2020,87,uk,baking,baking,64.0,19.04.2020
26.04.2020,94,uk,baking,baking,72.0,26.04.2020
05.03.2020,92,uk,baking,baking,68.0,05.03.2020
05.10.2020,84,uk,baking,baking,62.0,05.10.2020
17.05.2020,77,uk,baking,baking,54.0,17.05.2020
24.05.2020,64,uk,baking,baking,37.0,24.05.2020
31.05.2020,61,uk,baking,baking,38.0,31.05.2020
06.07.2020,58,uk,baking,baking,36.0,06.07.2020
14.06.2020,51,uk,baking,baking,28.0,14.06.2020
21.06.2020,44,uk,baking,baking,20.0,21.06.2020
28.06.2020,46,uk,baking,baking,22.0,28.06.2020
07.05.2020,42,uk,baking,baking,18.0,07.05.2020
07.12.2020,39,uk,baking,baking,16.0,07.12.2020
19.07.2020,40,uk,baking,baking,17.0,19.07.2020
26.07.2020,36,uk,baking,baking,10.0,26.07.2020
08.02.2020,32,uk,baking,baking,5.0,08.02.2020
08.09.2020,32,uk,baking,baking,4.0,08.09.2020
16.08.2020,32,uk,baking,baking,5.0,16.08.2020
23.08.2020,33,uk,baking,baking,5.0,23.08.2020
30.08.2020,32,uk,baking,baking,2.0,30.08.2020
09.06.2020,32,uk,baking,baking,4.0,09.06.2020
13.09.2020,29,uk,baking,baking,-1.0,13.09.2020
20.09.2020,34,uk,baking,baking,4.0,20.09.2020
27.09.2020,37,uk,baking,baking,9.0,27.09.2020
10.04.2020,40,uk,baking,baking,11.0,10.04.2020
10.11.2020,41,uk,baking,baking,12.0,10.11.2020
18.10.2020,41,uk,baking,baking,11.0,18.10.2020
25.10.2020,51,uk,baking,baking,18.0,25.10.2020
11.01.2020,38,uk,baking,baking,10.0,11.01.2020
11.03.2019,20,ger,bananabread,bananenbrot,8.0,11.03.2019
11.10.2019,18,ger,bananabread,bananenbrot,6.0,11.10.2019
17.11.2019,15,ger,bananabread,bananenbrot,6.0,17.11.2019
24.11.2019,12,ger,bananabread,bananenbrot,5.0,24.11.2019
12.01.2019,13,ger,bananabread,bananenbrot,6.0,12.01.2019
12.08.2019,11,ger,bananabread,bananenbrot,4.0,12.08.2019
15.12.2019,9,ger,bananabread,bananenbrot,1.0,15.12.2019
22.12.2019,11,ger,bananabread,bananenbrot,3.0,22.12.2019
29.12.2019,18,ger,bananabread,bananenbrot,7.0,29.12.2019
01.05.2020,16,ger,bananabread,bananenbrot,3.0,01.05.2020
01.12.2020,19,ger,bananabread,bananenbrot,7.0,01.12.2020
19.01.2020,23,ger,bananabread,bananenbrot,5.0,19.01.2020
26.01.2020,24,ger,bananabread,bananenbrot,6.0,26.01.2020
02.02.2020,24,ger,bananabread,bananenbrot,6.0,02.02.2020
02.09.2020,22,ger,bananabread,bananenbrot,6.0,02.09.2020
16.02.2020,21,ger,bananabread,bananenbrot,8.0,16.02.2020
23.02.2020,23,ger,bananabread,bananenbrot,7.0,23.02.2020
03.01.2020,26,ger,bananabread,bananenbrot,7.0,03.01.2020
03.08.2020,31,ger,bananabread,bananenbrot,12.0,03.08.2020
15.03.2020,46,ger,bananabread,bananenbrot,26.0,15.03.2020
22.03.2020,86,ger,bananabread,bananenbrot,68.0,22.03.2020
29.03.2020,100,ger,bananabread,bananenbrot,86.0,29.03.2020
04.05.2020,77,ger,bananabread,bananenbrot,61.0,04.05.2020
04.12.2020,67,ger,bananabread,bananenbrot,48.0,04.12.2020
19.04.2020,56,ger,bananabread,bananenbrot,40.0,19.04.2020
26.04.2020,54,ger,bananabread,bananenbrot,40.0,26.04.2020
05.03.2020,40,ger,bananabread,bananenbrot,24.0,05.03.2020
05.10.2020,36,ger,bananabread,bananenbrot,21.0,05.10.2020
17.05.2020,30,ger,bananabread,bananenbrot,14.0,17.05.2020
24.05.2020,33,ger,bananabread,bananenbrot,21.0,24.05.2020
31.05.2020,28,ger,bananabread,bananenbrot,15.0,31.05.2020
06.07.2020,27,ger,bananabread,bananenbrot,11.0,06.07.2020
14.06.2020,27,ger,bananabread,bananenbrot,15.0,14.06.2020
21.06.2020,19,ger,bananabread,bananenbrot,8.0,21.06.2020
28.06.2020,26,ger,bananabread,bananenbrot,16.0,28.06.2020
07.05.2020,24,ger,bananabread,bananenbrot,12.0,07.05.2020
07.12.2020,22,ger,bananabread,bananenbrot,9.0,07.12.2020
19.07.2020,20,ger,bananabread,bananenbrot,8.0,19.07.2020
26.07.2020,21,ger,bananabread,bananenbrot,6.0,26.07.2020
08.02.2020,19,ger,bananabread,bananenbrot,7.0,08.02.2020
08.09.2020,19,ger,bananabread,bananenbrot,2.0,08.09.2020
16.08.2020,18,ger,bananabread,bananenbrot,1.0,16.08.2020
23.08.2020,24,ger,bananabread,bananenbrot,11.0,23.08.2020
30.08.2020,21,ger,bananabread,bananenbrot,4.0,30.08.2020
09.06.2020,21,ger,bananabread,bananenbrot,7.0,09.06.2020
13.09.2020,21,ger,bananabread,bananenbrot,5.0,13.09.2020
20.09.2020,22,ger,bananabread,bananenbrot,4.0,20.09.2020
27.09.2020,22,ger,bananabread,bananenbrot,2.0,27.09.2020
10.04.2020,23,ger,bananabread,bananenbrot,8.0,10.04.2020
10.11.2020,25,ger,bananabread,bananenbrot,6.0,10.11.2020
18.10.2020,27,ger,bananabread,bananenbrot,10.0,18.10.2020
25.10.2020,33,ger,bananabread,bananenbrot,16.0,25.10.2020
11.01.2020,31,ger,bananabread,bananenbrot,11.0,11.01.2020
11.03.2019,24,nl,bananabread,bananenbrood,-3.0,11.03.2019
11.10.2019,26,nl,bananabread,bananenbrood,-4.0,11.10.2019
17.11.2019,29,nl,bananabread,bananenbrood,5.0,17.11.2019
24.11.2019,22,nl,bananabread,bananenbrood,1.0,24.11.2019
12.01.2019,21,nl,bananabread,bananenbrood,2.0,12.01.2019
12.08.2019,22,nl,bananabread,bananenbrood,2.0,12.08.2019
15.12.2019,18,nl,bananabread,bananenbrood,-6.0,15.12.2019
22.12.2019,27,nl,bananabread,bananenbrood,10.0,22.12.2019
29.12.2019,29,nl,bananabread,bananenbrood,0.0,29.12.2019
01.05.2020,42,nl,bananabread,bananenbrood,4.0,01.05.2020
01.12.2020,45,nl,bananabread,bananenbrood,5.0,01.12.2020
19.01.2020,47,nl,bananabread,bananenbrood,2.0,19.01.2020
26.01.2020,47,nl,bananabread,bananenbrood,-4.0,26.01.2020
02.02.2020,52,nl,bananabread,bananenbrood,-4.0,02.02.2020
02.09.2020,40,nl,bananabread,bananenbrood,2.0,02.09.2020
16.02.2020,46,nl,bananabread,bananenbrood,1.0,16.02.2020
23.02.2020,36,nl,bananabread,bananenbrood,0.0,23.02.2020
03.01.2020,45,nl,bananabread,bananenbrood,14.0,03.01.2020
03.08.2020,40,nl,bananabread,bananenbrood,4.0,03.08.2020
15.03.2020,76,nl,bananabread,bananenbrood,49.0,15.03.2020
22.03.2020,100,nl,bananabread,bananenbrood,67.0,22.03.2020
29.03.2020,96,nl,bananabread,bananenbrood,66.0,29.03.2020
04.05.2020,82,nl,bananabread,bananenbrood,50.0,04.05.2020
04.12.2020,81,nl,bananabread,bananenbrood,50.0,04.12.2020
19.04.2020,62,nl,bananabread,bananenbrood,38.0,19.04.2020
26.04.2020,78,nl,bananabread,bananenbrood,49.0,26.04.2020
05.03.2020,57,nl,bananabread,bananenbrood,32.0,05.03.2020
05.10.2020,60,nl,bananabread,bananenbrood,33.0,05.10.2020
17.05.2020,50,nl,bananabread,bananenbrood,22.0,17.05.2020
24.05.2020,48,nl,bananabread,bananenbrood,23.0,24.05.2020
31.05.2020,39,nl,bananabread,bananenbrood,11.0,31.05.2020
06.07.2020,42,nl,bananabread,bananenbrood,17.0,06.07.2020
14.06.2020,46,nl,bananabread,bananenbrood,27.0,14.06.2020
21.06.2020,31,nl,bananabread,bananenbrood,15.0,21.06.2020
28.06.2020,41,nl,bananabread,bananenbrood,25.0,28.06.2020
07.05.2020,43,nl,bananabread,bananenbrood,22.0,07.05.2020
07.12.2020,34,nl,bananabread,bananenbrood,11.0,07.12.2020
19.07.2020,36,nl,bananabread,bananenbrood,20.0,19.07.2020
26.07.2020,39,nl,bananabread,bananenbrood,15.0,26.07.2020
08.02.2020,30,nl,bananabread,bananenbrood,2.0,08.02.2020
08.09.2020,31,nl,bananabread,bananenbrood,1.0,08.09.2020
16.08.2020,29,nl,bananabread,bananenbrood,-3.0,16.08.2020
23.08.2020,38,nl,bananabread,bananenbrood,14.0,23.08.2020
30.08.2020,30,nl,bananabread,bananenbrood,-6.0,30.08.2020
09.06.2020,34,nl,bananabread,bananenbrood,5.0,09.06.2020
13.09.2020,33,nl,bananabread,bananenbrood,0.0,13.09.2020
20.09.2020,39,nl,bananabread,bananenbrood,5.0,20.09.2020
27.09.2020,38,nl,bananabread,bananenbrood,8.0,27.09.2020
10.04.2020,34,nl,bananabread,bananenbrood,1.0,10.04.2020
10.11.2020,40,nl,bananabread,bananenbrood,10.0,10.11.2020
18.10.2020,51,nl,bananabread,bananenbrood,23.0,18.10.2020
25.10.2020,48,nl,bananabread,bananenbrood,14.0,25.10.2020
11.01.2020,40,nl,bananabread,bananenbrood,16.0,11.01.2020
11.03.2019,12,uk,bananabread,bananbread,2.0,11.03.2019
11.10.2019,11,uk,bananabread,bananbread,1.0,11.10.2019
17.11.2019,11,uk,bananabread,bananbread,2.0,17.11.2019
24.11.2019,9,uk,bananabread,bananbread,-1.0,24.11.2019
12.01.2019,8,uk,bananabread,bananbread,1.0,12.01.2019
12.08.2019,7,uk,bananabread,bananbread,0.0,12.08.2019
15.12.2019,7,uk,bananabread,bananbread,0.0,15.12.2019
22.12.2019,6,uk,bananabread,bananbread,-2.0,22.12.2019
29.12.2019,9,uk,bananabread,bananbread,-1.0,29.12.2019
01.05.2020,11,uk,bananabread,bananbread,2.0,01.05.2020
01.12.2020,11,uk,bananabread,bananbread,1.0,01.12.2020
19.01.2020,13,uk,bananabread,bananbread,2.0,19.01.2020
26.01.2020,13,uk,bananabread,bananbread,1.0,26.01.2020
02.02.2020,15,uk,bananabread,bananbread,2.0,02.02.2020
02.09.2020,15,uk,bananabread,bananbread,2.0,02.09.2020
16.02.2020,15,uk,bananabread,bananbread,2.0,16.02.2020
23.02.2020,13,uk,bananabread,bananbread,1.0,23.02.2020
03.01.2020,14,uk,bananabread,bananbread,3.0,03.01.2020
03.08.2020,16,uk,bananabread,bananbread,3.0,03.08.2020
15.03.2020,31,uk,bananabread,bananbread,19.0,15.03.2020
22.03.2020,70,uk,bananabread,bananbread,59.0,22.03.2020
29.03.2020,100,uk,bananabread,bananbread,87.0,29.03.2020
04.05.2020,87,uk,bananabread,bananbread,74.0,04.05.2020
04.12.2020,89,uk,bananabread,bananbread,77.0,04.12.2020
19.04.2020,67,uk,bananabread,bananbread,56.0,19.04.2020
26.04.2020,65,uk,bananabread,bananbread,55.0,26.04.2020
05.03.2020,54,uk,bananabread,bananbread,42.0,05.03.2020
05.10.2020,52,uk,bananabread,bananbread,42.0,05.10.2020
17.05.2020,39,uk,bananabread,bananbread,29.0,17.05.2020
24.05.2020,36,uk,bananabread,bananbread,22.0,24.05.2020
31.05.2020,35,uk,bananabread,bananbread,24.0,31.05.2020
06.07.2020,30,uk,bananabread,bananbread,20.0,06.07.2020
14.06.2020,26,uk,bananabread,bananbread,16.0,14.06.2020
21.06.2020,22,uk,bananabread,bananbread,12.0,21.06.2020
28.06.2020,25,uk,bananabread,bananbread,15.0,28.06.2020
07.05.2020,21,uk,bananabread,bananbread,11.0,07.05.2020
07.12.2020,18,uk,bananabread,bananbread,8.0,07.12.2020
19.07.2020,20,uk,bananabread,bananbread,9.0,19.07.2020
26.07.2020,18,uk,bananabread,bananbread,7.0,26.07.2020
08.02.2020,17,uk,bananabread,bananbread,5.0,08.02.2020
08.09.2020,16,uk,bananabread,bananbread,5.0,08.09.2020
16.08.2020,15,uk,bananabread,bananbread,4.0,16.08.2020
23.08.2020,13,uk,bananabread,bananbread,1.0,23.08.2020
30.08.2020,14,uk,bananabread,bananbread,3.0,30.08.2020
09.06.2020,15,uk,bananabread,bananbread,3.0,09.06.2020
13.09.2020,16,uk,bananabread,bananbread,3.0,13.09.2020
20.09.2020,17,uk,bananabread,bananbread,3.0,20.09.2020
27.09.2020,16,uk,bananabread,bananbread,4.0,27.09.2020
10.04.2020,18,uk,bananabread,bananbread,6.0,10.04.2020
10.11.2020,17,uk,bananabread,bananbread,5.0,10.11.2020
18.10.2020,17,uk,bananabread,bananbread,5.0,18.10.2020
25.10.2020,18,uk,bananabread,bananbread,5.0,25.10.2020
11.01.2020,20,uk,bananabread,bananbread,8.0,11.01.2020
11.03.2019,45,ger,beans,bohnen,5.0,11.03.2019
11.10.2019,44,ger,beans,bohnen,3.0,11.10.2019
17.11.2019,42,ger,beans,bohnen,2.0,17.11.2019
24.11.2019,41,ger,beans,bohnen,0.0,24.11.2019
12.01.2019,35,ger,beans,bohnen,-5.0,12.01.2019
12.08.2019,48,ger,beans,bohnen,7.0,12.08.2019
15.12.2019,45,ger,beans,bohnen,0.0,15.12.2019
22.12.2019,53,ger,beans,bohnen,-1.0,22.12.2019
29.12.2019,49,ger,beans,bohnen,2.0,29.12.2019
01.05.2020,55,ger,beans,bohnen,7.0,01.05.2020
01.12.2020,56,ger,beans,bohnen,9.0,01.12.2020
19.01.2020,56,ger,beans,bohnen,9.0,19.01.2020
26.01.2020,49,ger,beans,bohnen,3.0,26.01.2020
02.02.2020,51,ger,beans,bohnen,7.0,02.02.2020
02.09.2020,52,ger,beans,bohnen,5.0,02.09.2020
16.02.2020,46,ger,beans,bohnen,0.0,16.02.2020
23.02.2020,51,ger,beans,bohnen,15.0,23.02.2020
03.01.2020,49,ger,beans,bohnen,8.0,03.01.2020
03.08.2020,41,ger,beans,bohnen,-4.0,03.08.2020
15.03.2020,45,ger,beans,bohnen,6.0,15.03.2020
22.03.2020,54,ger,beans,bohnen,13.0,22.03.2020
29.03.2020,55,ger,beans,bohnen,9.0,29.03.2020
04.05.2020,65,ger,beans,bohnen,18.0,04.05.2020
04.12.2020,67,ger,beans,bohnen,21.0,04.12.2020
19.04.2020,58,ger,beans,bohnen,10.0,19.04.2020
26.04.2020,61,ger,beans,bohnen,15.0,26.04.2020
05.03.2020,58,ger,beans,bohnen,15.0,05.03.2020
05.10.2020,60,ger,beans,bohnen,17.0,05.10.2020
17.05.2020,62,ger,beans,bohnen,20.0,17.05.2020
24.05.2020,60,ger,beans,bohnen,24.0,24.05.2020
31.05.2020,58,ger,beans,bohnen,23.0,31.05.2020
06.07.2020,52,ger,beans,bohnen,12.0,06.07.2020
14.06.2020,58,ger,beans,bohnen,21.0,14.06.2020
21.06.2020,50,ger,beans,bohnen,12.0,21.06.2020
28.06.2020,56,ger,beans,bohnen,10.0,28.06.2020
07.05.2020,67,ger,beans,bohnen,11.0,07.05.2020
07.12.2020,79,ger,beans,bohnen,19.0,07.12.2020
19.07.2020,93,ger,beans,bohnen,24.0,19.07.2020
26.07.2020,100,ger,beans,bohnen,22.0,26.07.2020
08.02.2020,99,ger,beans,bohnen,24.0,08.02.2020
08.09.2020,85,ger,beans,bohnen,13.0,08.09.2020
16.08.2020,82,ger,beans,bohnen,23.0,16.08.2020
23.08.2020,79,ger,beans,bohnen,20.0,23.08.2020
30.08.2020,66,ger,beans,bohnen,3.0,30.08.2020
09.06.2020,57,ger,beans,bohnen,0.0,09.06.2020
13.09.2020,59,ger,beans,bohnen,2.0,13.09.2020
20.09.2020,59,ger,beans,bohnen,6.0,20.09.2020
27.09.2020,65,ger,beans,bohnen,12.0,27.09.2020
10.04.2020,55,ger,beans,bohnen,4.0,10.04.2020
10.11.2020,60,ger,beans,bohnen,15.0,10.11.2020
18.10.2020,52,ger,beans,bohnen,11.0,18.10.2020
25.10.2020,48,ger,beans,bohnen,10.0,25.10.2020
11.01.2020,50,ger,beans,bohnen,5.0,11.01.2020
11.03.2019,70,nl,beans,bonen,7.0,11.03.2019
11.10.2019,70,nl,beans,bonen,6.0,11.10.2019
17.11.2019,71,nl,beans,bonen,2.0,17.11.2019
24.11.2019,72,nl,beans,bonen,5.0,24.11.2019
12.01.2019,57,nl,beans,bonen,-9.0,12.01.2019
12.08.2019,74,nl,beans,bonen,3.0,12.08.2019
15.12.2019,62,nl,beans,bonen,-7.0,15.12.2019
22.12.2019,62,nl,beans,bonen,-9.0,22.12.2019
29.12.2019,71,nl,beans,bonen,-2.0,29.12.2019
01.05.2020,77,nl,beans,bonen,12.0,01.05.2020
01.12.2020,79,nl,beans,bonen,-2.0,01.12.2020
19.01.2020,77,nl,beans,bonen,6.0,19.01.2020
26.01.2020,80,nl,beans,bonen,11.0,26.01.2020
02.02.2020,74,nl,beans,bonen,7.0,02.02.2020
02.09.2020,71,nl,beans,bonen,2.0,02.09.2020
16.02.2020,75,nl,beans,bonen,24.0,16.02.2020
23.02.2020,74,nl,beans,bonen,27.0,23.02.2020
03.01.2020,69,nl,beans,bonen,6.0,03.01.2020
03.08.2020,71,nl,beans,bonen,-2.0,03.08.2020
15.03.2020,73,nl,beans,bonen,12.0,15.03.2020
22.03.2020,81,nl,beans,bonen,29.0,22.03.2020
29.03.2020,91,nl,beans,bonen,26.0,29.03.2020
04.05.2020,83,nl,beans,bonen,28.0,04.05.2020
04.12.2020,85,nl,beans,bonen,37.0,04.12.2020
19.04.2020,81,nl,beans,bonen,31.0,19.04.2020
26.04.2020,100,nl,beans,bonen,36.0,26.04.2020
05.03.2020,83,nl,beans,bonen,23.0,05.03.2020
05.10.2020,88,nl,beans,bonen,30.0,05.10.2020
17.05.2020,79,nl,beans,bonen,20.0,17.05.2020
24.05.2020,69,nl,beans,bonen,-1.0,24.05.2020
31.05.2020,70,nl,beans,bonen,10.0,31.05.2020
06.07.2020,72,nl,beans,bonen,9.0,06.07.2020
14.06.2020,73,nl,beans,bonen,20.0,14.06.2020
21.06.2020,55,nl,beans,bonen,10.0,21.06.2020
28.06.2020,70,nl,beans,bonen,33.0,28.06.2020
07.05.2020,67,nl,beans,bonen,15.0,07.05.2020
07.12.2020,65,nl,beans,bonen,9.0,07.12.2020
19.07.2020,73,nl,beans,bonen,26.0,19.07.2020
26.07.2020,82,nl,beans,bonen,29.0,26.07.2020
08.02.2020,69,nl,beans,bonen,6.0,08.02.2020
08.09.2020,61,nl,beans,bonen,-8.0,08.09.2020
16.08.2020,63,nl,beans,bonen,-15.0,16.08.2020
23.08.2020,71,nl,beans,bonen,12.0,23.08.2020
30.08.2020,71,nl,beans,bonen,9.0,30.08.2020
09.06.2020,71,nl,beans,bonen,2.0,09.06.2020
13.09.2020,68,nl,beans,bonen,1.0,13.09.2020
20.09.2020,72,nl,beans,bonen,0.0,20.09.2020
27.09.2020,83,nl,beans,bonen,12.0,27.09.2020
10.04.2020,88,nl,beans,bonen,39.0,10.04.2020
10.11.2020,94,nl,beans,bonen,28.0,10.11.2020
18.10.2020,88,nl,beans,bonen,20.0,18.10.2020
25.10.2020,86,nl,beans,bonen,14.0,25.10.2020
11.01.2020,80,nl,beans,bonen,10.0,11.01.2020
11.03.2019,53,uk,beans,bean,6.0,11.03.2019
11.10.2019,56,uk,beans,bean,8.0,11.10.2019
17.11.2019,53,uk,beans,bean,3.0,17.11.2019
24.11.2019,60,uk,beans,bean,10.0,24.11.2019
12.01.2019,53,uk,beans,bean,4.0,12.01.2019
12.08.2019,48,uk,beans,bean,0.0,12.08.2019
15.12.2019,47,uk,beans,bean,8.0,15.12.2019
22.12.2019,42,uk,beans,bean,0.0,22.12.2019
29.12.2019,52,uk,beans,bean,-2.0,29.12.2019
01.05.2020,67,uk,beans,bean,2.0,01.05.2020
01.12.2020,63,uk,beans,bean,1.0,01.12.2020
19.01.2020,64,uk,beans,bean,6.0,19.01.2020
26.01.2020,59,uk,beans,bean,2.0,26.01.2020
02.02.2020,61,uk,beans,bean,4.0,02.02.2020
02.09.2020,58,uk,beans,bean,-2.0,02.09.2020
16.02.2020,56,uk,beans,bean,-1.0,16.02.2020
23.02.2020,54,uk,beans,bean,0.0,23.02.2020
03.01.2020,59,uk,beans,bean,3.0,03.01.2020
03.08.2020,54,uk,beans,bean,1.0,03.08.2020
