date,score,country,term,translated_term,score_difference,date_str,orig_score_diff,display_term,renamed_term,iso_num,iso_alpha,score_diff_positive
2020-05-10,43,ger,baking,backen,19,2020-05-10,19,baking,baking,276.0,DEU,positive
2020-05-17,47,ger,baking,backen,21,2020-05-17,21,baking,baking,276.0,DEU,positive
2020-05-24,40,ger,baking,backen,12,2020-05-24,12,baking,baking,276.0,DEU,positive
2020-05-31,41,ger,baking,backen,18,2020-05-31,18,baking,baking,276.0,DEU,positive
2020-06-07,44,ger,baking,backen,17,2020-06-07,17,baking,baking,276.0,DEU,positive
2020-06-14,35,ger,baking,backen,14,2020-06-14,14,baking,baking,276.0,DEU,positive
2020-06-21,29,ger,baking,backen,11,2020-06-21,11,baking,baking,276.0,DEU,positive
2020-06-28,31,ger,baking,backen,13,2020-06-28,13,baking,baking,276.0,DEU,positive
2020-07-05,32,ger,baking,backen,10,2020-07-05,10,baking,baking,276.0,DEU,positive
2020-07-12,31,ger,baking,backen,8,2020-07-12,8,baking,baking,276.0,DEU,positive
2020-07-19,29,ger,baking,backen,8,2020-07-19,8,baking,baking,276.0,DEU,positive
2020-07-26,28,ger,baking,backen,6,2020-07-26,6,baking,baking,276.0,DEU,positive
2020-08-02,28,ger,baking,backen,4,2020-08-02,4,baking,baking,276.0,DEU,positive
2020-08-09,27,ger,baking,backen,3,2020-08-09,3,baking,baking,276.0,DEU,positive
2020-08-16,27,ger,baking,backen,4,2020-08-16,4,baking,baking,276.0,DEU,positive
2020-08-23,31,ger,baking,backen,10,2020-08-23,10,baking,baking,276.0,DEU,positive
2020-08-30,29,ger,baking,backen,1,2020-08-30,-1,baking,baking,276.0,DEU,negative
2020-09-06,30,ger,baking,backen,2,2020-09-06,-2,baking,baking,276.0,DEU,negative
2020-09-13,29,ger,baking,backen,5,2020-09-13,-5,baking,baking,276.0,DEU,negative
2020-09-20,30,ger,baking,backen,6,2020-09-20,-6,baking,baking,276.0,DEU,negative
2020-09-27,34,ger,baking,backen,8,2020-09-27,-8,baking,baking,276.0,DEU,negative
2020-10-04,34,ger,baking,backen,5,2020-10-04,-5,baking,baking,276.0,DEU,negative
2020-10-11,34,ger,baking,backen,7,2020-10-11,-7,baking,baking,276.0,DEU,negative
2020-10-18,38,ger,baking,backen,13,2020-10-18,-13,baking,baking,276.0,DEU,negative
2020-10-25,42,ger,baking,backen,0,2020-10-25,0,baking,baking,276.0,DEU,positive
2020-11-01,47,ger,baking,backen,9,2020-11-01,9,baking,baking,276.0,DEU,positive
2019-11-03,48,nl,baking,bakken,1,2019-11-03,-1,baking,baking,533.0,NLD,negative
2019-11-10,45,nl,baking,bakken,2,2019-11-10,-2,baking,baking,533.0,NLD,negative
2019-11-17,51,nl,baking,bakken,3,2019-11-17,3,baking,baking,533.0,NLD,positive
2019-11-24,46,nl,baking,bakken,8,2019-11-24,-8,baking,baking,533.0,NLD,negative
2019-12-01,51,nl,baking,bakken,7,2019-12-01,7,baking,baking,533.0,NLD,positive
2019-12-08,48,nl,baking,bakken,5,2019-12-08,-5,baking,baking,533.0,NLD,negative
2019-12-15,57,nl,baking,bakken,3,2019-12-15,-3,baking,baking,533.0,NLD,negative
2019-12-22,98,nl,baking,bakken,2,2019-12-22,-2,baking,baking,533.0,NLD,negative
2019-12-29,80,nl,baking,bakken,8,2019-12-29,8,baking,baking,533.0,NLD,positive
2020-01-05,52,nl,baking,bakken,3,2020-01-05,3,baking,baking,533.0,NLD,positive
2020-01-12,52,nl,baking,bakken,4,2020-01-12,4,baking,baking,533.0,NLD,positive
2020-01-19,50,nl,baking,bakken,1,2020-01-19,1,baking,baking,533.0,NLD,positive
2020-01-26,53,nl,baking,bakken,0,2020-01-26,0,baking,baking,533.0,NLD,positive
2020-02-02,53,nl,baking,bakken,0,2020-02-02,0,baking,baking,533.0,NLD,positive
2020-02-09,53,nl,baking,bakken,9,2020-02-09,9,baking,baking,533.0,NLD,positive
2020-02-16,49,nl,baking,bakken,4,2020-02-16,4,baking,baking,533.0,NLD,positive
2020-02-23,49,nl,baking,bakken,7,2020-02-23,7,baking,baking,533.0,NLD,positive
2020-03-01,46,nl,baking,bakken,1,2020-03-01,-1,baking,baking,533.0,NLD,negative
2020-03-08,51,nl,baking,bakken,2,2020-03-08,2,baking,baking,533.0,NLD,positive
2020-03-15,75,nl,baking,bakken,35,2020-03-15,35,baking,baking,533.0,NLD,positive
2020-03-22,83,nl,baking,bakken,40,2020-03-22,40,baking,baking,533.0,NLD,positive
2020-03-29,87,nl,baking,bakken,45,2020-03-29,45,baking,baking,533.0,NLD,positive
2020-04-05,80,nl,baking,bakken,42,2020-04-05,42,baking,baking,533.0,NLD,positive
2020-04-12,77,nl,baking,bakken,35,2020-04-12,35,baking,baking,533.0,NLD,positive
2020-04-19,67,nl,baking,bakken,31,2020-04-19,31,baking,baking,533.0,NLD,positive
2020-04-26,86,nl,baking,bakken,42,2020-04-26,42,baking,baking,533.0,NLD,positive
2020-05-03,70,nl,baking,bakken,28,2020-05-03,28,baking,baking,533.0,NLD,positive
2020-05-10,62,nl,baking,bakken,27,2020-05-10,27,baking,baking,533.0,NLD,positive
2020-05-17,64,nl,baking,bakken,29,2020-05-17,29,baking,baking,533.0,NLD,positive
2020-05-24,53,nl,baking,bakken,13,2020-05-24,13,baking,baking,533.0,NLD,positive
2020-05-31,52,nl,baking,bakken,12,2020-05-31,12,baking,baking,533.0,NLD,positive
2020-06-07,53,nl,baking,bakken,10,2020-06-07,10,baking,baking,533.0,NLD,positive
2020-06-14,48,nl,baking,bakken,15,2020-06-14,15,baking,baking,533.0,NLD,positive
2020-06-21,40,nl,baking,bakken,12,2020-06-21,12,baking,baking,533.0,NLD,positive
2020-06-28,45,nl,baking,bakken,12,2020-06-28,12,baking,baking,533.0,NLD,positive
2020-07-05,55,nl,baking,bakken,15,2020-07-05,15,baking,baking,533.0,NLD,positive
2020-07-12,49,nl,baking,bakken,10,2020-07-12,10,baking,baking,533.0,NLD,positive
2020-07-19,53,nl,baking,bakken,23,2020-07-19,23,baking,baking,533.0,NLD,positive
2020-07-26,47,nl,baking,bakken,9,2020-07-26,9,baking,baking,533.0,NLD,positive
2020-08-02,46,nl,baking,bakken,10,2020-08-02,10,baking,baking,533.0,NLD,positive
2020-08-09,42,nl,baking,bakken,3,2020-08-09,-3,baking,baking,533.0,NLD,negative
2020-08-16,49,nl,baking,bakken,6,2020-08-16,6,baking,baking,533.0,NLD,positive
2020-08-23,55,nl,baking,bakken,18,2020-08-23,18,baking,baking,533.0,NLD,positive
2020-08-30,49,nl,baking,bakken,12,2020-08-30,12,baking,baking,533.0,NLD,positive
2020-09-06,52,nl,baking,bakken,13,2020-09-06,13,baking,baking,533.0,NLD,positive
2020-09-13,50,nl,baking,bakken,13,2020-09-13,13,baking,baking,533.0,NLD,positive
2020-09-20,51,nl,baking,bakken,7,2020-09-20,7,baking,baking,533.0,NLD,positive
2020-09-27,56,nl,baking,bakken,13,2020-09-27,13,baking,baking,533.0,NLD,positive
2020-10-04,60,nl,baking,bakken,18,2020-10-04,18,baking,baking,533.0,NLD,positive
2020-10-11,67,nl,baking,bakken,20,2020-10-11,20,baking,baking,533.0,NLD,positive
2020-10-18,70,nl,baking,bakken,23,2020-10-18,23,baking,baking,533.0,NLD,positive
2020-10-25,70,nl,baking,bakken,24,2020-10-25,24,baking,baking,533.0,NLD,positive
2020-11-01,64,nl,baking,bakken,16,2020-11-01,16,baking,baking,533.0,NLD,positive
2019-11-03,28,uk,baking,baking,1,2019-11-03,-1,baking,baking,826.0,GBR,negative
2019-11-10,29,uk,baking,baking,1,2019-11-10,1,baking,baking,826.0,GBR,positive
2019-11-17,31,uk,baking,baking,3,2019-11-17,3,baking,baking,826.0,GBR,positive
2019-11-24,28,uk,baking,baking,0,2019-11-24,0,baking,baking,826.0,GBR,positive
2019-12-01,30,uk,baking,baking,1,2019-12-01,-1,baking,baking,826.0,GBR,negative
2019-12-08,28,uk,baking,baking,3,2019-12-08,-3,baking,baking,826.0,GBR,negative
2019-12-15,33,uk,baking,baking,0,2019-12-15,0,baking,baking,826.0,GBR,positive
2019-12-22,33,uk,baking,baking,1,2019-12-22,1,baking,baking,826.0,GBR,positive
2019-12-29,26,uk,baking,baking,2,2019-12-29,-2,baking,baking,826.0,GBR,negative
2020-01-05,26,uk,baking,baking,0,2020-01-05,0,baking,baking,826.0,GBR,positive
2020-01-12,28,uk,baking,baking,3,2020-01-12,3,baking,baking,826.0,GBR,positive
2020-01-19,26,uk,baking,baking,1,2020-01-19,-1,baking,baking,826.0,GBR,negative
2020-01-26,27,uk,baking,baking,2,2020-01-26,2,baking,baking,826.0,GBR,positive
2020-02-02,30,uk,baking,baking,2,2020-02-02,2,baking,baking,826.0,GBR,positive
2020-02-09,30,uk,baking,baking,0,2020-02-09,0,baking,baking,826.0,GBR,positive
2020-02-16,31,uk,baking,baking,4,2020-02-16,4,baking,baking,826.0,GBR,positive
2020-02-23,29,uk,baking,baking,3,2020-02-23,3,baking,baking,826.0,GBR,positive
2020-03-01,27,uk,baking,baking,2,2020-03-01,-2,baking,baking,826.0,GBR,negative
2020-03-08,29,uk,baking,baking,0,2020-03-08,0,baking,baking,826.0,GBR,positive
2020-03-15,36,uk,baking,baking,8,2020-03-15,8,baking,baking,826.0,GBR,positive
2020-03-22,65,uk,baking,baking,37,2020-03-22,37,baking,baking,826.0,GBR,positive
2020-03-29,92,uk,baking,baking,66,2020-03-29,66,baking,baking,826.0,GBR,positive
2020-04-05,100,uk,baking,baking,73,2020-04-05,73,baking,baking,826.0,GBR,positive
2020-04-12,98,uk,baking,baking,69,2020-04-12,69,baking,baking,826.0,GBR,positive
2020-04-19,87,uk,baking,baking,64,2020-04-19,64,baking,baking,826.0,GBR,positive
2020-04-26,94,uk,baking,baking,72,2020-04-26,72,baking,baking,826.0,GBR,positive
2020-05-03,92,uk,baking,baking,68,2020-05-03,68,baking,baking,826.0,GBR,positive
2020-05-10,84,uk,baking,baking,62,2020-05-10,62,baking,baking,826.0,GBR,positive
2020-05-17,77,uk,baking,baking,54,2020-05-17,54,baking,baking,826.0,GBR,positive
2020-05-24,64,uk,baking,baking,37,2020-05-24,37,baking,baking,826.0,GBR,positive
2020-05-31,61,uk,baking,baking,38,2020-05-31,38,baking,baking,826.0,GBR,positive
2020-06-07,58,uk,baking,baking,36,2020-06-07,36,baking,baking,826.0,GBR,positive
2020-06-14,51,uk,baking,baking,28,2020-06-14,28,baking,baking,826.0,GBR,positive
2020-06-21,44,uk,baking,baking,20,2020-06-21,20,baking,baking,826.0,GBR,positive
2020-06-28,46,uk,baking,baking,22,2020-06-28,22,baking,baking,826.0,GBR,positive
2020-07-05,42,uk,baking,baking,18,2020-07-05,18,baking,baking,826.0,GBR,positive
2020-07-12,39,uk,baking,baking,16,2020-07-12,16,baking,baking,826.0,GBR,positive
2020-07-19,40,uk,baking,baking,17,2020-07-19,17,baking,baking,826.0,GBR,positive
2020-07-26,36,uk,baking,baking,10,2020-07-26,10,baking,baking,826.0,GBR,positive
2020-08-02,32,uk,baking,baking,5,2020-08-02,5,baking,baking,826.0,GBR,positive
2020-08-09,32,uk,baking,baking,4,2020-08-09,4,baking,baking,826.0,GBR,positive
2020-08-16,32,uk,baking,baking,5,2020-08-16,5,baking,baking,826.0,GBR,positive
2020-08-23,33,uk,baking,baking,5,2020-08-23,5,baking,baking,826.0,GBR,positive
2020-08-30,32,uk,baking,baking,2,2020-08-30,2,baking,baking,826.0,GBR,positive
2020-09-06,32,uk,baking,baking,4,2020-09-06,4,baking,baking,826.0,GBR,positive
2020-09-13,29,uk,baking,baking,1,2020-09-13,-1,baking,baking,826.0,GBR,negative
2020-09-20,34,uk,baking,baking,4,2020-09-20,4,baking,baking,826.0,GBR,positive
2020-09-27,37,uk,baking,baking,9,2020-09-27,9,baking,baking,826.0,GBR,positive
2020-10-04,40,uk,baking,baking,11,2020-10-04,11,baking,baking,826.0,GBR,positive
2020-10-11,41,uk,baking,baking,12,2020-10-11,12,baking,baking,826.0,GBR,positive
2020-10-18,41,uk,baking,baking,11,2020-10-18,11,baking,baking,826.0,GBR,positive
2020-10-25,51,uk,baking,baking,18,2020-10-25,18,baking,baking,826.0,GBR,positive
2020-11-01,38,uk,baking,baking,10,2020-11-01,10,baking,baking,826.0,GBR,positive
2019-11-03,20,ger,bananabread,bananenbrot,8,2019-11-03,8,banana bread,banana bread,276.0,DEU,positive
2019-11-10,18,ger,bananabread,bananenbrot,6,2019-11-10,6,banana bread,banana bread,276.0,DEU,positive
2019-11-17,15,ger,bananabread,bananenbrot,6,2019-11-17,6,banana bread,banana bread,276.0,DEU,positive
2019-11-24,12,ger,bananabread,bananenbrot,5,2019-11-24,5,banana bread,banana bread,276.0,DEU,positive
2019-12-01,13,ger,bananabread,bananenbrot,6,2019-12-01,6,banana bread,banana bread,276.0,DEU,positive
2019-12-08,11,ger,bananabread,bananenbrot,4,2019-12-08,4,banana bread,banana bread,276.0,DEU,positive
2019-12-15,9,ger,bananabread,bananenbrot,1,2019-12-15,1,banana bread,banana bread,276.0,DEU,positive
2019-12-22,11,ger,bananabread,bananenbrot,3,2019-12-22,3,banana bread,banana bread,276.0,DEU,positive
2019-12-29,18,ger,bananabread,bananenbrot,7,2019-12-29,7,banana bread,banana bread,276.0,DEU,positive
2020-01-05,16,ger,bananabread,bananenbrot,3,2020-01-05,3,banana bread,banana bread,276.0,DEU,positive
2020-01-12,19,ger,bananabread,bananenbrot,7,2020-01-12,7,banana bread,banana bread,276.0,DEU,positive
2020-01-19,23,ger,bananabread,bananenbrot,5,2020-01-19,5,banana bread,banana bread,276.0,DEU,positive
2020-01-26,24,ger,bananabread,bananenbrot,6,2020-01-26,6,banana bread,banana bread,276.0,DEU,positive
2020-02-02,24,ger,bananabread,bananenbrot,6,2020-02-02,6,banana bread,banana bread,276.0,DEU,positive
2020-02-09,22,ger,bananabread,bananenbrot,6,2020-02-09,6,banana bread,banana bread,276.0,DEU,positive
2020-02-16,21,ger,bananabread,bananenbrot,8,2020-02-16,8,banana bread,banana bread,276.0,DEU,positive
2020-02-23,23,ger,bananabread,bananenbrot,7,2020-02-23,7,banana bread,banana bread,276.0,DEU,positive
2020-03-01,26,ger,bananabread,bananenbrot,7,2020-03-01,7,banana bread,banana bread,276.0,DEU,positive
2020-03-08,31,ger,bananabread,bananenbrot,12,2020-03-08,12,banana bread,banana bread,276.0,DEU,positive
2020-03-15,46,ger,bananabread,bananenbrot,26,2020-03-15,26,banana bread,banana bread,276.0,DEU,positive
2020-03-22,86,ger,bananabread,bananenbrot,68,2020-03-22,68,banana bread,banana bread,276.0,DEU,positive
2020-03-29,100,ger,bananabread,bananenbrot,86,2020-03-29,86,banana bread,banana bread,276.0,DEU,positive
2020-04-05,77,ger,bananabread,bananenbrot,61,2020-04-05,61,banana bread,banana bread,276.0,DEU,positive
2020-04-12,67,ger,bananabread,bananenbrot,48,2020-04-12,48,banana bread,banana bread,276.0,DEU,positive
2020-04-19,56,ger,bananabread,bananenbrot,40,2020-04-19,40,banana bread,banana bread,276.0,DEU,positive
2020-04-26,54,ger,bananabread,bananenbrot,40,2020-04-26,40,banana bread,banana bread,276.0,DEU,positive
2020-05-03,40,ger,bananabread,bananenbrot,24,2020-05-03,24,banana bread,banana bread,276.0,DEU,positive
2020-05-10,36,ger,bananabread,bananenbrot,21,2020-05-10,21,banana bread,banana bread,276.0,DEU,positive
2020-05-17,30,ger,bananabread,bananenbrot,14,2020-05-17,14,banana bread,banana bread,276.0,DEU,positive
2020-05-24,33,ger,bananabread,bananenbrot,21,2020-05-24,21,banana bread,banana bread,276.0,DEU,positive
2020-05-31,28,ger,bananabread,bananenbrot,15,2020-05-31,15,banana bread,banana bread,276.0,DEU,positive
2020-06-07,27,ger,bananabread,bananenbrot,11,2020-06-07,11,banana bread,banana bread,276.0,DEU,positive
2020-06-14,27,ger,bananabread,bananenbrot,15,2020-06-14,15,banana bread,banana bread,276.0,DEU,positive
2020-06-21,19,ger,bananabread,bananenbrot,8,2020-06-21,8,banana bread,banana bread,276.0,DEU,positive
2020-06-28,26,ger,bananabread,bananenbrot,16,2020-06-28,16,banana bread,banana bread,276.0,DEU,positive
2020-07-05,24,ger,bananabread,bananenbrot,12,2020-07-05,12,banana bread,banana bread,276.0,DEU,positive
2020-07-12,22,ger,bananabread,bananenbrot,9,2020-07-12,9,banana bread,banana bread,276.0,DEU,positive
2020-07-19,20,ger,bananabread,bananenbrot,8,2020-07-19,8,banana bread,banana bread,276.0,DEU,positive
2020-07-26,21,ger,bananabread,bananenbrot,6,2020-07-26,6,banana bread,banana bread,276.0,DEU,positive
2020-08-02,19,ger,bananabread,bananenbrot,7,2020-08-02,7,banana bread,banana bread,276.0,DEU,positive
2020-08-09,19,ger,bananabread,bananenbrot,2,2020-08-09,2,banana bread,banana bread,276.0,DEU,positive
2020-08-16,18,ger,bananabread,bananenbrot,1,2020-08-16,1,banana bread,banana bread,276.0,DEU,positive
2020-08-23,24,ger,bananabread,bananenbrot,11,2020-08-23,11,banana bread,banana bread,276.0,DEU,positive
2020-08-30,21,ger,bananabread,bananenbrot,4,2020-08-30,4,banana bread,banana bread,276.0,DEU,positive
2020-09-06,21,ger,bananabread,bananenbrot,7,2020-09-06,7,banana bread,banana bread,276.0,DEU,positive
2020-09-13,21,ger,bananabread,bananenbrot,5,2020-09-13,5,banana bread,banana bread,276.0,DEU,positive
2020-09-20,22,ger,bananabread,bananenbrot,4,2020-09-20,4,banana bread,banana bread,276.0,DEU,positive
2020-09-27,22,ger,bananabread,bananenbrot,2,2020-09-27,2,banana bread,banana bread,276.0,DEU,positive
2020-10-04,23,ger,bananabread,bananenbrot,8,2020-10-04,8,banana bread,banana bread,276.0,DEU,positive
2020-10-11,25,ger,bananabread,bananenbrot,6,2020-10-11,6,banana bread,banana bread,276.0,DEU,positive
2020-10-18,27,ger,bananabread,bananenbrot,10,2020-10-18,10,banana bread,banana bread,276.0,DEU,positive
2020-10-25,33,ger,bananabread,bananenbrot,16,2020-10-25,16,banana bread,banana bread,276.0,DEU,positive
2020-11-01,31,ger,bananabread,bananenbrot,11,2020-11-01,11,banana bread,banana bread,276.0,DEU,positive
2019-11-03,24,nl,bananabread,bananenbrood,3,2019-11-03,-3,banana bread,banana bread,533.0,NLD,negative
2019-11-10,26,nl,bananabread,bananenbrood,4,2019-11-10,-4,banana bread,banana bread,533.0,NLD,negative
2019-11-17,29,nl,bananabread,bananenbrood,5,2019-11-17,5,banana bread,banana bread,533.0,NLD,positive
2019-11-24,22,nl,bananabread,bananenbrood,1,2019-11-24,1,banana bread,banana bread,533.0,NLD,positive
2019-12-01,21,nl,bananabread,bananenbrood,2,2019-12-01,2,banana bread,banana bread,533.0,NLD,positive
2019-12-08,22,nl,bananabread,bananenbrood,2,2019-12-08,2,banana bread,banana bread,533.0,NLD,positive
2019-12-15,18,nl,bananabread,bananenbrood,6,2019-12-15,-6,banana bread,banana bread,533.0,NLD,negative
2019-12-22,27,nl,bananabread,bananenbrood,10,2019-12-22,10,banana bread,banana bread,533.0,NLD,positive
2019-12-29,29,nl,bananabread,bananenbrood,0,2019-12-29,0,banana bread,banana bread,533.0,NLD,positive
2020-01-05,42,nl,bananabread,bananenbrood,4,2020-01-05,4,banana bread,banana bread,533.0,NLD,positive
2020-01-12,45,nl,bananabread,bananenbrood,5,2020-01-12,5,banana bread,banana bread,533.0,NLD,positive
2020-01-19,47,nl,bananabread,bananenbrood,2,2020-01-19,2,banana bread,banana bread,533.0,NLD,positive
2020-01-26,47,nl,bananabread,bananenbrood,4,2020-01-26,-4,banana bread,banana bread,533.0,NLD,negative
2020-02-02,52,nl,bananabread,bananenbrood,4,2020-02-02,-4,banana bread,banana bread,533.0,NLD,negative
2020-02-09,40,nl,bananabread,bananenbrood,2,2020-02-09,2,banana bread,banana bread,533.0,NLD,positive
2020-02-16,46,nl,bananabread,bananenbrood,1,2020-02-16,1,banana bread,banana bread,533.0,NLD,positive
2020-02-23,36,nl,bananabread,bananenbrood,0,2020-02-23,0,banana bread,banana bread,533.0,NLD,positive
2020-03-01,45,nl,bananabread,bananenbrood,14,2020-03-01,14,banana bread,banana bread,533.0,NLD,positive
2020-03-08,40,nl,bananabread,bananenbrood,4,2020-03-08,4,banana bread,banana bread,533.0,NLD,positive
2020-03-15,76,nl,bananabread,bananenbrood,49,2020-03-15,49,banana bread,banana bread,533.0,NLD,positive
2020-03-22,100,nl,bananabread,bananenbrood,67,2020-03-22,67,banana bread,banana bread,533.0,NLD,positive
2020-03-29,96,nl,bananabread,bananenbrood,66,2020-03-29,66,banana bread,banana bread,533.0,NLD,positive
2020-04-05,82,nl,bananabread,bananenbrood,50,2020-04-05,50,banana bread,banana bread,533.0,NLD,positive
2020-04-12,81,nl,bananabread,bananenbrood,50,2020-04-12,50,banana bread,banana bread,533.0,NLD,positive
2020-04-19,62,nl,bananabread,bananenbrood,38,2020-04-19,38,banana bread,banana bread,533.0,NLD,positive
2020-04-26,78,nl,bananabread,bananenbrood,49,2020-04-26,49,banana bread,banana bread,533.0,NLD,positive
2020-05-03,57,nl,bananabread,bananenbrood,32,2020-05-03,32,banana bread,banana bread,533.0,NLD,positive
2020-05-10,60,nl,bananabread,bananenbrood,33,2020-05-10,33,banana bread,banana bread,533.0,NLD,positive
2020-05-17,50,nl,bananabread,bananenbrood,22,2020-05-17,22,banana bread,banana bread,533.0,NLD,positive
2020-05-24,48,nl,bananabread,bananenbrood,23,2020-05-24,23,banana bread,banana bread,533.0,NLD,positive
2020-05-31,39,nl,bananabread,bananenbrood,11,2020-05-31,11,banana bread,banana bread,533.0,NLD,positive
2020-06-07,42,nl,bananabread,bananenbrood,17,2020-06-07,17,banana bread,banana bread,533.0,NLD,positive
2020-06-14,46,nl,bananabread,bananenbrood,27,2020-06-14,27,banana bread,banana bread,533.0,NLD,positive
2020-06-21,31,nl,bananabread,bananenbrood,15,2020-06-21,15,banana bread,banana bread,533.0,NLD,positive
2020-06-28,41,nl,bananabread,bananenbrood,25,2020-06-28,25,banana bread,banana bread,533.0,NLD,positive
2020-07-05,43,nl,bananabread,bananenbrood,22,2020-07-05,22,banana bread,banana bread,533.0,NLD,positive
2020-07-12,34,nl,bananabread,bananenbrood,11,2020-07-12,11,banana bread,banana bread,533.0,NLD,positive
2020-07-19,36,nl,bananabread,bananenbrood,20,2020-07-19,20,banana bread,banana bread,533.0,NLD,positive
2020-07-26,39,nl,bananabread,bananenbrood,15,2020-07-26,15,banana bread,banana bread,533.0,NLD,positive
2020-08-02,30,nl,bananabread,bananenbrood,2,2020-08-02,2,banana bread,banana bread,533.0,NLD,positive
2020-08-09,31,nl,bananabread,bananenbrood,1,2020-08-09,1,banana bread,banana bread,533.0,NLD,positive
2020-08-16,29,nl,bananabread,bananenbrood,3,2020-08-16,-3,banana bread,banana bread,533.0,NLD,negative
2020-08-23,38,nl,bananabread,bananenbrood,14,2020-08-23,14,banana bread,banana bread,533.0,NLD,positive
2020-08-30,30,nl,bananabread,bananenbrood,6,2020-08-30,-6,banana bread,banana bread,533.0,NLD,negative
2020-09-06,34,nl,bananabread,bananenbrood,5,2020-09-06,5,banana bread,banana bread,533.0,NLD,positive
2020-09-13,33,nl,bananabread,bananenbrood,0,2020-09-13,0,banana bread,banana bread,533.0,NLD,positive
2020-09-20,39,nl,bananabread,bananenbrood,5,2020-09-20,5,banana bread,banana bread,533.0,NLD,positive
2020-09-27,38,nl,bananabread,bananenbrood,8,2020-09-27,8,banana bread,banana bread,533.0,NLD,positive
2020-10-04,34,nl,bananabread,bananenbrood,1,2020-10-04,1,banana bread,banana bread,533.0,NLD,positive
2020-10-11,40,nl,bananabread,bananenbrood,10,2020-10-11,10,banana bread,banana bread,533.0,NLD,positive
2020-10-18,51,nl,bananabread,bananenbrood,23,2020-10-18,23,banana bread,banana bread,533.0,NLD,positive
2020-10-25,48,nl,bananabread,bananenbrood,14,2020-10-25,14,banana bread,banana bread,533.0,NLD,positive
2020-11-01,40,nl,bananabread,bananenbrood,16,2020-11-01,16,banana bread,banana bread,533.0,NLD,positive
2019-11-03,12,uk,bananabread,bananbread,2,2019-11-03,2,banana bread,banana bread,826.0,GBR,positive
2019-11-10,11,uk,bananabread,bananbread,1,2019-11-10,1,banana bread,banana bread,826.0,GBR,positive
2019-11-17,11,uk,bananabread,bananbread,2,2019-11-17,2,banana bread,banana bread,826.0,GBR,positive
2019-11-24,9,uk,bananabread,bananbread,1,2019-11-24,-1,banana bread,banana bread,826.0,GBR,negative
2019-12-01,8,uk,bananabread,bananbread,1,2019-12-01,1,banana bread,banana bread,826.0,GBR,positive
2019-12-08,7,uk,bananabread,bananbread,0,2019-12-08,0,banana bread,banana bread,826.0,GBR,positive
2019-12-15,7,uk,bananabread,bananbread,0,2019-12-15,0,banana bread,banana bread,826.0,GBR,positive
2019-12-22,6,uk,bananabread,bananbread,2,2019-12-22,-2,banana bread,banana bread,826.0,GBR,negative
2019-12-29,9,uk,bananabread,bananbread,1,2019-12-29,-1,banana bread,banana bread,826.0,GBR,negative
2020-01-05,11,uk,bananabread,bananbread,2,2020-01-05,2,banana bread,banana bread,826.0,GBR,positive
