date,score,country,term,translated_term,score_difference
2020-09-27,22,ger,bananabread,bananenbrot,2.0
2020-10-04,23,ger,bananabread,bananenbrot,8.0
2020-10-11,25,ger,bananabread,bananenbrot,6.0
2020-10-18,27,ger,bananabread,bananenbrot,10.0
2020-10-25,33,ger,bananabread,bananenbrot,16.0
2020-11-01,31,ger,bananabread,bananenbrot,11.0
2019-11-03,12,uk,bananabread,bananbread,2.0
2019-11-10,11,uk,bananabread,bananbread,1.0
2019-11-17,11,uk,bananabread,bananbread,2.0
2019-11-24,9,uk,bananabread,bananbread,-1.0
2019-12-01,8,uk,bananabread,bananbread,1.0
2019-12-08,7,uk,bananabread,bananbread,0.0
2019-12-15,7,uk,bananabread,bananbread,0.0
2019-12-22,6,uk,bananabread,bananbread,-2.0
2019-12-29,9,uk,bananabread,bananbread,-1.0
2020-01-05,11,uk,bananabread,bananbread,2.0
2020-01-12,11,uk,bananabread,bananbread,1.0
2020-01-19,13,uk,bananabread,bananbread,2.0
2020-01-26,13,uk,bananabread,bananbread,1.0
2020-02-02,15,uk,bananabread,bananbread,2.0
2020-02-09,15,uk,bananabread,bananbread,2.0
2020-02-16,15,uk,bananabread,bananbread,2.0
2020-02-23,13,uk,bananabread,bananbread,1.0
2020-03-01,14,uk,bananabread,bananbread,3.0
2020-03-08,16,uk,bananabread,bananbread,3.0
2020-03-15,31,uk,bananabread,bananbread,19.0
2020-03-22,70,uk,bananabread,bananbread,59.0
2020-03-29,100,uk,bananabread,bananbread,87.0
2020-04-05,87,uk,bananabread,bananbread,74.0
2020-04-12,89,uk,bananabread,bananbread,77.0
2020-04-19,67,uk,bananabread,bananbread,56.0
2020-04-26,65,uk,bananabread,bananbread,55.0
2020-05-03,54,uk,bananabread,bananbread,42.0
2020-05-10,52,uk,bananabread,bananbread,42.0
2020-05-17,39,uk,bananabread,bananbread,29.0
2020-05-24,36,uk,bananabread,bananbread,22.0
2020-05-31,35,uk,bananabread,bananbread,24.0
2020-06-07,30,uk,bananabread,bananbread,20.0
2020-06-14,26,uk,bananabread,bananbread,16.0
2020-06-21,22,uk,bananabread,bananbread,12.0
2020-06-28,25,uk,bananabread,bananbread,15.0
2020-07-05,21,uk,bananabread,bananbread,11.0
2020-07-12,18,uk,bananabread,bananbread,8.0
2020-07-19,20,uk,bananabread,bananbread,9.0
2020-07-26,18,uk,bananabread,bananbread,7.0
2020-08-02,17,uk,bananabread,bananbread,5.0
2020-08-09,16,uk,bananabread,bananbread,5.0
2020-08-16,15,uk,bananabread,bananbread,4.0
2020-08-23,13,uk,bananabread,bananbread,1.0
2020-08-30,14,uk,bananabread,bananbread,3.0
2020-09-06,15,uk,bananabread,bananbread,3.0
2020-09-13,16,uk,bananabread,bananbread,3.0
2020-09-20,17,uk,bananabread,bananbread,3.0
2020-09-27,16,uk,bananabread,bananbread,4.0
2020-10-04,18,uk,bananabread,bananbread,6.0
2020-10-11,17,uk,bananabread,bananbread,5.0
2020-10-18,17,uk,bananabread,bananbread,5.0
2020-10-25,18,uk,bananabread,bananbread,5.0
2020-11-01,20,uk,bananabread,bananbread,8.0
2019-11-03,24,nl,bananabread,bananenbrood,-3.0
2019-11-10,26,nl,bananabread,bananenbrood,-4.0
2019-11-17,29,nl,bananabread,bananenbrood,5.0
2019-11-24,22,nl,bananabread,bananenbrood,1.0
2019-12-01,21,nl,bananabread,bananenbrood,2.0
2019-12-08,22,nl,bananabread,bananenbrood,2.0
2019-12-15,18,nl,bananabread,bananenbrood,-6.0
2019-12-22,27,nl,bananabread,bananenbrood,10.0
2019-12-29,29,nl,bananabread,bananenbrood,0.0
2020-01-05,42,nl,bananabread,bananenbrood,4.0
2020-01-12,45,nl,bananabread,bananenbrood,5.0
2020-01-19,47,nl,bananabread,bananenbrood,2.0
2020-01-26,47,nl,bananabread,bananenbrood,-4.0
2020-02-02,52,nl,bananabread,bananenbrood,-4.0
2020-02-09,40,nl,bananabread,bananenbrood,2.0
2020-02-16,46,nl,bananabread,bananenbrood,1.0
2020-02-23,36,nl,bananabread,bananenbrood,0.0
2020-03-01,45,nl,bananabread,bananenbrood,14.0
2020-03-08,40,nl,bananabread,bananenbrood,4.0
2020-03-15,76,nl,bananabread,bananenbrood,49.0
2020-03-22,100,nl,bananabread,bananenbrood,67.0
2020-03-29,96,nl,bananabread,bananenbrood,66.0
2020-04-05,82,nl,bananabread,bananenbrood,50.0
2020-04-12,81,nl,bananabread,bananenbrood,50.0
2020-04-19,62,nl,bananabread,bananenbrood,38.0
2020-04-26,78,nl,bananabread,bananenbrood,49.0
2020-05-03,57,nl,bananabread,bananenbrood,32.0
2020-05-10,60,nl,bananabread,bananenbrood,33.0
2020-05-17,50,nl,bananabread,bananenbrood,22.0
2020-05-24,48,nl,bananabread,bananenbrood,23.0
2020-05-31,39,nl,bananabread,bananenbrood,11.0
2020-06-07,42,nl,bananabread,bananenbrood,17.0
2020-06-14,46,nl,bananabread,bananenbrood,27.0
2020-06-21,31,nl,bananabread,bananenbrood,15.0
2020-06-28,41,nl,bananabread,bananenbrood,25.0
2020-07-05,43,nl,bananabread,bananenbrood,22.0
2020-07-12,34,nl,bananabread,bananenbrood,11.0
2020-07-19,36,nl,bananabread,bananenbrood,20.0
2020-07-26,39,nl,bananabread,bananenbrood,15.0
2020-08-02,30,nl,bananabread,bananenbrood,2.0
2020-08-09,31,nl,bananabread,bananenbrood,1.0
2020-08-16,29,nl,bananabread,bananenbrood,-3.0
2020-08-23,38,nl,bananabread,bananenbrood,14.0
2020-08-30,30,nl,bananabread,bananenbrood,-6.0
2020-09-06,34,nl,bananabread,bananenbrood,5.0
2020-09-13,33,nl,bananabread,bananenbrood,0.0
2020-09-20,39,nl,bananabread,bananenbrood,5.0
2020-09-27,38,nl,bananabread,bananenbrood,8.0
2020-10-04,34,nl,bananabread,bananenbrood,1.0
2020-10-11,40,nl,bananabread,bananenbrood,10.0
2020-10-18,51,nl,bananabread,bananenbrood,23.0
2020-10-25,48,nl,bananabread,bananenbrood,14.0
2020-11-01,40,nl,bananabread,bananenbrood,16.0
2019-11-03,53,uk,beans,bean,6.0
2019-11-10,56,uk,beans,bean,8.0
2019-11-17,53,uk,beans,bean,3.0
2019-11-24,60,uk,beans,bean,10.0
2019-12-01,53,uk,beans,bean,4.0
2019-12-08,48,uk,beans,bean,0.0
2019-12-15,47,uk,beans,bean,8.0
2019-12-22,42,uk,beans,bean,0.0
2019-12-29,52,uk,beans,bean,-2.0
2020-01-05,67,uk,beans,bean,2.0
2020-01-12,63,uk,beans,bean,1.0
2020-01-19,64,uk,beans,bean,6.0
2020-01-26,59,uk,beans,bean,2.0
2020-02-02,61,uk,beans,bean,4.0
2020-02-09,58,uk,beans,bean,-2.0
2020-02-16,56,uk,beans,bean,-1.0
2020-02-23,54,uk,beans,bean,0.0
2020-03-01,59,uk,beans,bean,3.0
2020-03-08,54,uk,beans,bean,1.0
2020-03-15,59,uk,beans,bean,1.0
2020-03-22,73,uk,beans,bean,14.0
2020-03-29,82,uk,beans,bean,26.0
2020-04-05,89,uk,beans,bean,32.0
2020-04-12,92,uk,beans,bean,37.0
2020-04-19,93,uk,beans,bean,38.0
2020-04-26,100,uk,beans,bean,41.0
2020-05-03,95,uk,beans,bean,36.0
2020-05-10,91,uk,beans,bean,35.0
2020-05-17,92,uk,beans,bean,35.0
2020-05-24,89,uk,beans,bean,35.0
2020-05-31,86,uk,beans,bean,31.0
2020-06-07,80,uk,beans,bean,21.0
2020-06-14,78,uk,beans,bean,21.0
2020-06-21,73,uk,beans,bean,24.0
2020-06-28,76,uk,beans,bean,23.0
2020-07-05,71,uk,beans,bean,18.0
2020-07-12,75,uk,beans,bean,22.0
2020-07-19,73,uk,beans,bean,16.0
2020-07-26,67,uk,beans,bean,9.0
2020-08-02,76,uk,beans,bean,18.0
2020-08-09,70,uk,beans,bean,10.0
2020-08-16,72,uk,beans,bean,16.0
2020-08-23,68,uk,beans,bean,8.0
2020-08-30,62,uk,beans,bean,-2.0
2020-09-06,62,uk,beans,bean,1.0
2020-09-13,65,uk,beans,bean,7.0
2020-09-20,65,uk,beans,bean,4.0
2020-09-27,63,uk,beans,bean,6.0
2020-10-04,60,uk,beans,bean,3.0
2020-10-11,59,uk,beans,bean,5.0
2020-10-18,60,uk,beans,bean,6.0
2020-10-25,62,uk,beans,bean,8.0
2020-11-01,57,uk,beans,bean,4.0
2019-11-03,70,nl,beans,bonen,7.0
2019-11-10,70,nl,beans,bonen,6.0
2019-11-17,71,nl,beans,bonen,2.0
2019-11-24,72,nl,beans,bonen,5.0
2019-12-01,57,nl,beans,bonen,-9.0
2019-12-08,74,nl,beans,bonen,3.0
2019-12-15,62,nl,beans,bonen,-7.0
2019-12-22,62,nl,beans,bonen,-9.0
2019-12-29,71,nl,beans,bonen,-2.0
2020-01-05,77,nl,beans,bonen,12.0
2020-01-12,79,nl,beans,bonen,-2.0
2020-01-19,77,nl,beans,bonen,6.0
2020-01-26,80,nl,beans,bonen,11.0
2020-02-02,74,nl,beans,bonen,7.0
2020-02-09,71,nl,beans,bonen,2.0
2020-02-16,75,nl,beans,bonen,24.0
2020-02-23,74,nl,beans,bonen,27.0
2020-03-01,69,nl,beans,bonen,6.0
2020-03-08,71,nl,beans,bonen,-2.0
2020-03-15,73,nl,beans,bonen,12.0
2020-03-22,81,nl,beans,bonen,29.0
2020-03-29,91,nl,beans,bonen,26.0
2020-04-05,83,nl,beans,bonen,28.0
2020-04-12,85,nl,beans,bonen,37.0
2020-04-19,81,nl,beans,bonen,31.0
2020-04-26,100,nl,beans,bonen,36.0
2020-05-03,83,nl,beans,bonen,23.0
2020-05-10,88,nl,beans,bonen,30.0
2020-05-17,79,nl,beans,bonen,20.0
2020-05-24,69,nl,beans,bonen,-1.0
2020-05-31,70,nl,beans,bonen,10.0
2020-06-07,72,nl,beans,bonen,9.0
2020-06-14,73,nl,beans,bonen,20.0
2020-06-21,55,nl,beans,bonen,10.0
2020-06-28,70,nl,beans,bonen,33.0
2020-07-05,67,nl,beans,bonen,15.0
2020-07-12,65,nl,beans,bonen,9.0
2020-07-19,73,nl,beans,bonen,26.0
2020-07-26,82,nl,beans,bonen,29.0
2020-08-02,69,nl,beans,bonen,6.0
2020-08-09,61,nl,beans,bonen,-8.0
2020-08-16,63,nl,beans,bonen,-15.0
2020-08-23,71,nl,beans,bonen,12.0
2020-08-30,71,nl,beans,bonen,9.0
2020-09-06,71,nl,beans,bonen,2.0
2020-09-13,68,nl,beans,bonen,1.0
2020-09-20,72,nl,beans,bonen,0.0
2020-09-27,83,nl,beans,bonen,12.0
2020-10-04,88,nl,beans,bonen,39.0
2020-10-11,94,nl,beans,bonen,28.0
2020-10-18,88,nl,beans,bonen,20.0
2020-10-25,86,nl,beans,bonen,14.0
2020-11-01,80,nl,beans,bonen,10.0
2019-11-03,45,ger,beans,bohnen,5.0
2019-11-10,44,ger,beans,bohnen,3.0
2019-11-17,42,ger,beans,bohnen,2.0
2019-11-24,41,ger,beans,bohnen,0.0
2019-12-01,35,ger,beans,bohnen,-5.0
2019-12-08,48,ger,beans,bohnen,7.0
2019-12-15,45,ger,beans,bohnen,0.0
2019-12-22,53,ger,beans,bohnen,-1.0
2019-12-29,49,ger,beans,bohnen,2.0
2020-01-05,55,ger,beans,bohnen,7.0
2020-01-12,56,ger,beans,bohnen,9.0
2020-01-19,56,ger,beans,bohnen,9.0
2020-01-26,49,ger,beans,bohnen,3.0
2020-02-02,51,ger,beans,bohnen,7.0
2020-02-09,52,ger,beans,bohnen,5.0
2020-02-16,46,ger,beans,bohnen,0.0
2020-02-23,51,ger,beans,bohnen,15.0
2020-03-01,49,ger,beans,bohnen,8.0
2020-03-08,41,ger,beans,bohnen,-4.0
2020-03-15,45,ger,beans,bohnen,6.0
2020-03-22,54,ger,beans,bohnen,13.0
2020-03-29,55,ger,beans,bohnen,9.0
2020-04-05,65,ger,beans,bohnen,18.0
2020-04-12,67,ger,beans,bohnen,21.0
2020-04-19,58,ger,beans,bohnen,10.0
2020-04-26,61,ger,beans,bohnen,15.0
2020-05-03,58,ger,beans,bohnen,15.0
2020-05-10,60,ger,beans,bohnen,17.0
2020-05-17,62,ger,beans,bohnen,20.0
2020-05-24,60,ger,beans,bohnen,24.0
2020-05-31,58,ger,beans,bohnen,23.0
2020-06-07,52,ger,beans,bohnen,12.0
2020-06-14,58,ger,beans,bohnen,21.0
2020-06-21,50,ger,beans,bohnen,12.0
2020-06-28,56,ger,beans,bohnen,10.0
2020-07-05,67,ger,beans,bohnen,11.0
2020-07-12,79,ger,beans,bohnen,19.0
2020-07-19,93,ger,beans,bohnen,24.0
2020-07-26,100,ger,beans,bohnen,22.0
2020-08-02,99,ger,beans,bohnen,24.0
2020-08-09,85,ger,beans,bohnen,13.0
2020-08-16,82,ger,beans,bohnen,23.0
2020-08-23,79,ger,beans,bohnen,20.0
2020-08-30,66,ger,beans,bohnen,3.0
2020-09-06,57,ger,beans,bohnen,0.0
2020-09-13,59,ger,beans,bohnen,2.0
2020-09-20,59,ger,beans,bohnen,6.0
2020-09-27,65,ger,beans,bohnen,12.0
2020-10-04,55,ger,beans,bohnen,4.0
2020-10-11,60,ger,beans,bohnen,15.0
2020-10-18,52,ger,beans,bohnen,11.0
2020-10-25,48,ger,beans,bohnen,10.0
2020-11-01,50,ger,beans,bohnen,5.0
2019-11-03,78,uk,coffee,coffee,3.0
2019-11-10,79,uk,coffee,coffee,3.0
2019-11-17,84,uk,coffee,coffee,0.0
2019-11-24,86,uk,coffee,coffee,6.0
2019-12-01,83,uk,coffee,coffee,8.0
2019-12-08,79,uk,coffee,coffee,1.0
2019-12-15,81,uk,coffee,coffee,4.0
2019-12-22,85,uk,coffee,coffee,4.0
2019-12-29,83,uk,coffee,coffee,3.0
2020-01-05,78,uk,coffee,coffee,5.0
2020-01-12,78,uk,coffee,coffee,3.0
2020-01-19,77,uk,coffee,coffee,6.0
2020-01-26,73,uk,coffee,coffee,2.0
2020-02-02,76,uk,coffee,coffee,4.0
2020-02-09,73,uk,coffee,coffee,1.0
2020-02-16,76,uk,coffee,coffee,2.0
2020-02-23,70,uk,coffee,coffee,3.0
2020-03-01,70,uk,coffee,coffee,0.0
2020-03-08,64,uk,coffee,coffee,-6.0
2020-03-15,60,uk,coffee,coffee,-12.0
2020-03-22,57,uk,coffee,coffee,-15.0
2020-03-29,77,uk,coffee,coffee,9.0
2020-04-05,83,uk,coffee,coffee,12.0
2020-04-12,80,uk,coffee,coffee,12.0
2020-04-19,79,uk,coffee,coffee,11.0
2020-04-26,78,uk,coffee,coffee,10.0
2020-05-03,81,uk,coffee,coffee,6.0
2020-05-10,81,uk,coffee,coffee,13.0
2020-05-17,85,uk,coffee,coffee,19.0
2020-05-24,84,uk,coffee,coffee,17.0
2020-05-31,80,uk,coffee,coffee,13.0
2020-06-07,83,uk,coffee,coffee,14.0
2020-06-14,81,uk,coffee,coffee,12.0
2020-06-21,78,uk,coffee,coffee,10.0
2020-06-28,81,uk,coffee,coffee,14.0
2020-07-05,81,uk,coffee,coffee,14.0
2020-07-12,78,uk,coffee,coffee,8.0
2020-07-19,81,uk,coffee,coffee,13.0
2020-07-26,82,uk,coffee,coffee,11.0
2020-08-02,82,uk,coffee,coffee,10.0
2020-08-09,78,uk,coffee,coffee,4.0
2020-08-16,82,uk,coffee,coffee,8.0
2020-08-23,84,uk,coffee,coffee,12.0
2020-08-30,86,uk,coffee,coffee,13.0
2020-09-06,85,uk,coffee,coffee,12.0
2020-09-13,81,uk,coffee,coffee,6.0
2020-09-20,84,uk,coffee,coffee,5.0
2020-09-27,85,uk,coffee,coffee,-15.0
2020-10-04,85,uk,coffee,coffee,10.0
2020-10-11,86,uk,coffee,coffee,11.0
2020-10-18,86,uk,coffee,coffee,11.0
2020-10-25,92,uk,coffee,coffee,18.0
2020-11-01,83,uk,coffee,coffee,5.0
2019-11-03,87,nl,coffee,koffie,3.0
2019-11-10,82,nl,coffee,koffie,3.0
2019-11-17,87,nl,coffee,koffie,5.0
2019-11-24,84,nl,coffee,koffie,4.0
2019-12-01,84,nl,coffee,koffie,-5.0
2019-12-08,82,nl,coffee,koffie,1.0
2019-12-15,83,nl,coffee,koffie,9.0
2019-12-22,100,nl,coffee,koffie,13.0
2019-12-29,83,nl,coffee,koffie,5.0
2020-01-05,87,nl,coffee,koffie,8.0
2020-01-12,89,nl,coffee,koffie,14.0
2020-01-19,88,nl,coffee,koffie,-5.0
2020-01-26,93,nl,coffee,koffie,2.0
2020-02-02,92,nl,coffee,koffie,9.0
2020-02-09,82,nl,coffee,koffie,6.0
2020-02-16,87,nl,coffee,koffie,4.0
2020-02-23,85,nl,coffee,koffie,10.0
2020-03-01,79,nl,coffee,koffie,6.0
2020-03-08,69,nl,coffee,koffie,-3.0
2020-03-15,72,nl,coffee,koffie,-2.0
2020-03-22,69,nl,coffee,koffie,-7.0
2020-03-29,81,nl,coffee,koffie,4.0
2020-04-05,70,nl,coffee,koffie,-9.0
2020-04-12,92,nl,coffee,koffie,24.0
2020-04-19,81,nl,coffee,koffie,14.0
2020-04-26,80,nl,coffee,koffie,-8.0
2020-05-03,80,nl,coffee,koffie,4.0
2020-05-10,79,nl,coffee,koffie,7.0
2020-05-17,84,nl,coffee,koffie,9.0
2020-05-24,81,nl,coffee,koffie,11.0
2020-05-31,79,nl,coffee,koffie,11.0
2020-06-07,85,nl,coffee,koffie,13.0
2020-06-14,82,nl,coffee,koffie,14.0
2020-06-21,73,nl,coffee,koffie,15.0
2020-06-28,83,nl,coffee,koffie,15.0
2020-07-05,91,nl,coffee,koffie,18.0
2020-07-12,94,nl,coffee,koffie,25.0
2020-07-19,93,nl,coffee,koffie,24.0
2020-07-26,86,nl,coffee,koffie,10.0
2020-08-02,84,nl,coffee,koffie,6.0
2020-08-09,79,nl,coffee,koffie,-1.0
2020-08-16,88,nl,coffee,koffie,-5.0
2020-08-23,85,nl,coffee,koffie,12.0
2020-08-30,83,nl,coffee,koffie,1.0
